exit_reason,exit_day,return,stock_id,stock_name,buy_date
止盈30%,32,0.6148729036291839,000019.SZ,深粮控股,2016-05-09
止损-20%,93,-0.24314660309892744,000019.SZ,深粮控股,2016-12-02
止损-20%,85,0.03377772644381799,000019.SZ,深粮控股,2018-04-16
止盈30%,22,0.26564126191680504,000019.SZ,深粮控股,2020-06-09
止盈30%,23,0.26622516556291387,000020.SZ,深华发A,2010-01-27
到期120天,120,0.033993743482794575,000020.SZ,深华发A,2010-10-18
止损-20%,104,-0.2101123595505618,000020.SZ,深华发A,2011-04-29
止盈30%,7,0.29669421487603315,000020.SZ,深华发A,2012-04-05
止盈30%,28,0.27057142857142863,000020.SZ,深华发A,2014-05-15
到期120天,120,0.044673068129858176,000020.SZ,深华发A,2016-12-29
止损-20%,66,-0.20313942751615874,000020.SZ,深华发A,2017-05-08
止损-20%,118,0.035289906943450175,000020.SZ,深华发A,2018-04-17
到期120天,120,0.027619893428063952,000020.SZ,深华发A,2019-04-29
到期120天,120,-0.1273584905660377,000020.SZ,深华发A,2019-10-21
止损-20%,80,-0.09539295392953934,000020.SZ,深华发A,2020-09-10
止盈30%,114,0.22588888888888894,000020.SZ,深华发A,2022-03-09
止损-20%,66,-0.21238244514106577,000020.SZ,深华发A,2024-12-25
止盈30%,39,0.24009569377990442,000021.SZ,深科技,2009-09-01
止盈30%,79,0.2481147540983606,000021.SZ,深科技,2010-02-02
止损-20%,109,-0.12491803278688514,000021.SZ,深科技,2010-11-16
止损-20%,101,-0.11071092827064137,000021.SZ,深科技,2012-04-05
到期120天,120,0.1720439382711766,000021.SZ,深科技,2014-03-31
止损-20%,5,-0.21474654377880184,000021.SZ,深科技,2016-01-04
止盈30%,52,0.24183699743592135,000021.SZ,深科技,2016-05-12
止损-20%,89,-0.2340425531914894,000021.SZ,深科技,2018-01-31
止盈30%,45,0.26970338446842057,000021.SZ,深科技,2019-06-18
止盈30%,52,0.2620484372671412,000021.SZ,深科技,2019-10-22
到期120天,120,-0.08818449720484703,000021.SZ,深科技,2020-09-08
止损-20%,34,-0.21371504660452723,000021.SZ,深科技,2022-01-13
到期120天,120,0.13330427201394934,000021.SZ,深科技,2022-09-15
止损-20%,105,-0.23437499999999992,000021.SZ,深科技,2023-08-03
到期120天,120,0.04276423599233656,000021.SZ,深科技,2025-01-02
止盈30%,43,0.2196515004840271,000025.SZ,特力A,2010-02-02
到期120天,120,0.04975320829220123,000025.SZ,特力A,2010-09-21
止盈30%,17,0.23781420765027314,000025.SZ,特力A,2011-04-28
到期120天,120,-0.0382089552238806,000025.SZ,特力A,2012-05-18
止盈30%,61,0.2193296089385475,000025.SZ,特力A,2014-06-19
止损-20%,73,-0.22035704769517725,000025.SZ,特力A,2016-01-21
止损-20%,84,-0.1043701799485861,000025.SZ,特力A,2017-09-28
止损-20%,78,-0.11176123494294996,000025.SZ,特力A,2020-09-15
到期120天,120,-0.13108773813490218,000025.SZ,特力A,2023-04-10
到期120天,120,0.09375611492479935,000025.SZ,特力A,2024-02-02
到期120天,120,0.12349881299937818,000025.SZ,特力A,2024-12-26
止盈30%,49,0.22746113989637318,000026.SZ,飞亚达,2009-09-01
止盈30%,52,0.3504916850259742,000026.SZ,飞亚达,2010-05-20
止损-20%,65,-0.1151265822784811,000026.SZ,飞亚达,2011-09-26
止损-20%,41,-0.2511634789632958,000026.SZ,飞亚达,2012-05-16
止损-20%,112,0.025326782232044653,000026.SZ,飞亚达,2013-02-27
到期120天,120,0.21234865796758146,000026.SZ,飞亚达,2016-05-06
止盈30%,90,0.24427643578946498,000026.SZ,飞亚达,2020-02-28
止损-20%,21,-0.2,000026.SZ,飞亚达,2020-10-20
到期120天,120,0.1572794899043571,000026.SZ,飞亚达,2022-07-15
到期120天,120,0.10341006589375376,000026.SZ,飞亚达,2023-03-29
到期120天,120,0.15388489004400824,000026.SZ,飞亚达,2024-06-03
到期120天,14,-0.03699354081033485,000026.SZ,飞亚达,2025-09-11
止盈30%,25,0.2133263378803778,000027.SZ,深圳能源,2015-02-06
止损-20%,18,-0.23928215353938184,000027.SZ,深圳能源,2015-12-15
止盈30%,86,0.23229813664596266,000027.SZ,深圳能源,2018-10-18
到期120天,120,-0.019427225292613995,000027.SZ,深圳能源,2021-06-17
到期120天,120,0.11062112236642893,000027.SZ,深圳能源,2025-01-08
止盈30%,116,0.2256370668185927,000028.SZ,国药一致,2014-03-28
止损-20%,10,-0.21171171171171183,000028.SZ,国药一致,2015-08-20
到期120天,120,0.11872429629918493,000028.SZ,国药一致,2016-05-26
到期120天,120,0.20728693089246814,000028.SZ,国药一致,2020-02-28
止损-20%,94,-0.11496956552455584,000028.SZ,国药一致,2020-09-17
止损-20%,46,-0.21417682926829268,000028.SZ,国药一致,2023-07-05
止损-20%,43,-0.20384673558974423,000028.SZ,国药一致,2024-06-24
到期120天,120,-0.07788781617078143,000028.SZ,国药一致,2025-01-07
止盈30%,20,0.25036496350364945,000029.SZ,深深房A,2009-01-08
止损-20%,87,-0.10935251798561157,000029.SZ,深深房A,2009-12-24
到期120天,120,-0.040665434380776154,000029.SZ,深深房A,2010-09-16
到期120天,120,0.08688524590163926,000029.SZ,深深房A,2012-03-23
止盈30%,53,0.22885714285714293,000029.SZ,深深房A,2014-01-07
止盈30%,91,0.22227848101265812,000029.SZ,深深房A,2014-05-09
止盈30%,39,0.2553448275862069,000029.SZ,深深房A,2015-01-19
止损-20%,103,-0.10661080074487903,000029.SZ,深深房A,2016-05-06
止损-20%,26,-0.20353063343717562,000029.SZ,深深房A,2020-11-11
止盈30%,81,0.25366120218579213,000029.SZ,深深房A,2022-08-02
止盈30%,97,0.22689243027888445,000029.SZ,深深房A,2024-12-31
止损-20%,15,-0.20631067961165053,000030.SZ,富奥股份,2016-01-07
到期120天,120,-0.02409952051585459,000030.SZ,富奥股份,2019-05-14
止盈30%,19,0.2502380952380952,000030.SZ,富奥股份,2020-02-03
到期120天,120,0.016550637201311152,000030.SZ,富奥股份,2020-12-09
到期120天,120,-0.05218992532417089,000030.SZ,富奥股份,2021-05-07
止损-20%,37,-0.21276595744680848,000030.SZ,富奥股份,2022-01-13
止盈30%,28,0.22078189300411502,000030.SZ,富奥股份,2025-04-08
止损-20%,28,-0.20258272800645669,000031.SZ,大悦城,2009-12-15
到期120天,120,-0.11788617886178862,000031.SZ,大悦城,2010-09-01
止损-20%,69,-0.21961779282351468,000031.SZ,大悦城,2011-04-28
到期120天,120,0.05972556673690482,000031.SZ,大悦城,2012-03-28
到期120天,120,0.015427951791350134,000031.SZ,大悦城,2013-03-04
到期120天,120,-0.07837837837837848,000031.SZ,大悦城,2013-10-25
止损-20%,7,-0.2074132492113564,000031.SZ,大悦城,2016-01-04
到期120天,120,-0.11254019292604514,000031.SZ,大悦城,2016-09-26
止损-20%,88,-0.2015810276679841,000031.SZ,大悦城,2020-09-14
到期120天,120,-0.17662337662337665,000031.SZ,大悦城,2022-05-10
止损-20%,62,-0.232484076433121,000031.SZ,大悦城,2024-12-30
止盈30%,63,0.26051051051051066,000032.SZ,深桑达A,2009-08-17
止盈30%,44,0.22380352644836257,000032.SZ,深桑达A,2010-01-27
止盈30%,118,0.2304301870526954,000032.SZ,深桑达A,2010-05-27
到期120天,120,0.13752598752598758,000032.SZ,深桑达A,2010-10-18
止损-20%,109,-0.22855031733130185,000032.SZ,深桑达A,2011-04-25
到期120天,120,0.17712,000032.SZ,深桑达A,2012-05-15
止盈30%,25,0.25606060606060593,000032.SZ,深桑达A,2012-11-29
止盈30%,56,0.21795625081595124,000032.SZ,深桑达A,2013-06-21
止盈30%,19,0.3173006134969325,000032.SZ,深桑达A,2014-04-28
到期120天,120,-0.008564231831855127,000032.SZ,深桑达A,2016-04-28
止盈30%,8,0.2772350993377483,000032.SZ,深桑达A,2020-02-05
止损-20%,80,-0.22270176952956414,000032.SZ,深桑达A,2020-09-01
到期120天,120,-0.14685658153241646,000032.SZ,深桑达A,2021-04-23
止损-20%,29,-0.21620278330019885,000032.SZ,深桑达A,2022-03-09
止损-20%,72,0.012562108479284878,000032.SZ,深桑达A,2023-05-15
止盈30%,25,0.2944543828264757,000032.SZ,深桑达A,2025-01-02
到期120天,10,-0.019264448336252245,000032.SZ,深桑达A,2025-09-17
止盈30%,31,0.2335149863760217,000034.SZ,神州数码,2010-09-16
止损-20%,42,-0.23846153846153845,000034.SZ,神州数码,2012-05-16
到期120天,120,0.12569974554707386,000034.SZ,神州数码,2013-03-18
止盈30%,54,0.24701670644391405,000034.SZ,神州数码,2014-04-28
止盈30%,83,0.2177909562638992,000034.SZ,神州数码,2019-05-14
止盈30%,33,0.21417270929466037,000034.SZ,神州数码,2019-10-22
止盈30%,96,0.2308797909407666,000034.SZ,神州数码,2020-05-25
到期120天,120,-0.052947976878612656,000034.SZ,神州数码,2021-08-05
止盈30%,13,0.27137745974955285,000034.SZ,神州数码,2022-09-20
止盈30%,85,0.23442710761895305,000034.SZ,神州数码,2023-04-26
止盈30%,36,0.22975921745673436,000034.SZ,神州数码,2023-09-19
止损-20%,45,-0.11276132420573445,000034.SZ,神州数码,2024-04-17
止盈30%,20,0.2694603174603174,000034.SZ,神州数码,2025-01-03
止盈30%,65,0.2306422018348624,000035.SZ,中国天楹,2009-08-13
到期120天,120,0.15983935742971872,000035.SZ,中国天楹,2013-09-26
止损-20%,7,-0.2091172214182345,000035.SZ,中国天楹,2016-02-18
止损-20%,83,-0.23239436619718312,000035.SZ,中国天楹,2017-04-25
止盈30%,69,0.2279527559055119,000035.SZ,中国天楹,2019-08-05
到期120天,120,-0.1147826086956521,000035.SZ,中国天楹,2022-09-14
止盈30%,83,0.27764244670917326,000035.SZ,中国天楹,2024-07-08
到期120天,120,-0.05689277899343558,000035.SZ,中国天楹,2025-01-03
止盈30%,54,0.22998027613412214,000036.SZ,华联控股,2009-08-31
止损-20%,75,-0.1283216783216782,000036.SZ,华联控股,2010-01-26
到期120天,120,-0.04148471615720526,000036.SZ,华联控股,2010-09-27
