id,date,qfq,hfq,last_update
000014.SZ,20200102,0.791932,0.000000,2025-08-12 13:35:24
000014.SZ,20200611,0.791304,0.000000,2025-08-12 13:35:24
000014.SZ,20210107,0.784615,0.000000,2025-08-12 13:35:24
000014.SZ,20210611,0.785533,0.000000,2025-08-12 13:35:24
000014.SZ,20220527,0.962637,0.000000,2025-08-12 13:35:24
000014.SZ,20220530,0.961451,0.000000,2025-08-12 13:35:24
000014.SZ,20230602,0.978682,0.000000,2025-08-12 13:35:24
000014.SZ,20240606,1.000000,0.000000,2025-08-12 13:35:24
000014.SZ,20240625,1.000000,0.000000,2025-08-12 13:35:24
000014.SZ,20240626,1.000000,0.000000,2025-08-12 13:35:24
000016.SZ,20080603,0.398821,0.000000,2025-08-12 13:35:24
000016.SZ,20090710,0.404255,0.000000,2025-08-12 13:35:24
000016.SZ,20100715,0.397490,0.000000,2025-08-12 13:35:24
000016.SZ,20110711,0.393805,0.000000,2025-08-12 13:35:24
000016.SZ,20120709,0.359882,0.000000,2025-08-12 13:35:24
000016.SZ,20130614,0.352941,0.000000,2025-08-12 13:35:24
000016.SZ,20140529,0.384615,0.000000,2025-08-12 13:35:24
000016.SZ,20150925,0.919156,0.000000,2025-08-12 13:35:24
000016.SZ,20180606,0.943925,0.000000,2025-08-12 13:35:24
000016.SZ,20180816,0.929742,0.000000,2025-08-12 13:35:24
000016.SZ,20180828,0.928401,0.000000,2025-08-12 13:35:24
000016.SZ,20190705,0.951807,0.000000,2025-08-12 13:35:24
000016.SZ,20200102,0.955157,0.000000,2025-08-12 13:35:24
000016.SZ,20200709,0.981862,0.000000,2025-08-12 13:35:24
000016.SZ,20210107,0.976923,0.000000,2025-08-12 13:35:24
000016.SZ,20210604,0.991948,0.000000,2025-08-12 13:35:24
000016.SZ,20220610,1.000000,0.000000,2025-08-12 13:35:24
000016.SZ,20240625,1.000000,0.000000,2025-08-12 13:35:24
000016.SZ,20240626,1.000000,0.000000,2025-08-12 13:35:24
000017.SZ,20100318,1.000000,0.000000,2025-08-12 13:35:24
000017.SZ,20180816,1.000000,0.000000,2025-08-12 13:35:24
000017.SZ,20180828,1.000000,0.000000,2025-08-12 13:35:24
000017.SZ,20200102,1.000000,0.000000,2025-08-12 13:35:24
000017.SZ,20210107,1.000000,0.000000,2025-08-12 13:35:24
000017.SZ,20240625,1.000000,0.000000,2025-08-12 13:35:24
000017.SZ,20240626,1.000000,0.000000,2025-08-12 13:35:24
000019.SZ,20130709,0.313103,0.000000,2025-08-12 13:35:24
000019.SZ,20140514,0.393617,0.000000,2025-08-12 13:35:24
000019.SZ,20160622,0.791561,0.000000,2025-08-12 13:35:24
000019.SZ,20170628,0.892430,0.000000,2025-08-12 13:35:24
000019.SZ,20180816,0.846765,0.000000,2025-08-12 13:35:24
000019.SZ,20180828,0.855150,0.000000,2025-08-12 13:35:24
000019.SZ,20190620,0.827109,0.000000,2025-08-12 13:35:24
000019.SZ,20200102,0.797407,0.000000,2025-08-12 13:35:24
000019.SZ,20200619,0.867089,0.000000,2025-08-12 13:35:24
000019.SZ,20210107,0.860000,0.000000,2025-08-12 13:35:24
000019.SZ,20210621,0.888158,0.000000,2025-08-12 13:35:24
000019.SZ,20220622,0.924147,0.000000,2025-08-12 13:35:24
000019.SZ,20230601,0.919679,0.000000,2025-08-12 13:35:24
000019.SZ,20230626,0.951857,0.000000,2025-08-12 13:35:24
000019.SZ,20240619,0.974874,0.000000,2025-08-12 13:35:24
000019.SZ,20240625,0.973592,0.000000,2025-08-12 13:35:24
000019.SZ,20240626,0.974271,0.000000,2025-08-12 13:35:24
000019.SZ,20250617,1.000000,0.000000,2025-08-12 13:35:24
000020.SZ,20180828,1.000000,0.000000,2025-08-12 13:35:24
000020.SZ,20200102,1.000000,0.000000,2025-08-12 13:35:24
000020.SZ,20210107,1.000000,0.000000,2025-08-12 13:35:24
000020.SZ,20240625,1.000000,0.000000,2025-08-12 13:35:24
000020.SZ,20240626,1.000000,0.000000,2025-08-12 13:35:24
000021.SZ,20080613,0.451861,0.000000,2025-08-12 13:35:24
000021.SZ,20090624,0.524069,0.000000,2025-08-12 13:35:24
000021.SZ,20100610,0.871199,0.000000,2025-08-12 13:35:24
000021.SZ,20110620,0.834615,0.000000,2025-08-12 13:35:24
000021.SZ,20120625,0.780443,0.000000,2025-08-12 13:35:24
000021.SZ,20130619,0.785321,0.000000,2025-08-12 13:35:24
000021.SZ,20140619,0.806563,0.000000,2025-08-12 13:35:24
000021.SZ,20150618,0.941144,0.000000,2025-08-12 13:35:24
000021.SZ,20160616,0.881119,0.000000,2025-08-12 13:35:24
000021.SZ,20170622,0.886150,0.000000,2025-08-12 13:35:24
000021.SZ,20180628,0.860395,0.000000,2025-08-12 13:35:24
000021.SZ,20180816,0.857364,0.000000,2025-08-12 13:35:24
000021.SZ,20180828,0.857805,0.000000,2025-08-12 13:35:24
000021.SZ,20190627,0.900966,0.000000,2025-08-12 13:35:24
