stock_id,period_start,period_end,duration_weeks,price_change_pct,price_range_pct,convergence_ratio,ma20_slope,ma60_slope,position_in_range,close_to_ma20,volume_ratio,amount_ratio,volume_trend,amount_trend,avg_volume,avg_amount,max_return,min_return,final_return,is_profitable
600388.SH,20200619,20220617,104,49.18539164921986,58.356795339160364,0.07798825340038723,0.05658185344480333,-0.11702609413445893,1.0,30.81365893200922,1.4623473697417844,1.115523371258738,3.935888511717557,6.149393165616634,63049824.625,600034022.1153846,7.668474051123171,-7.5910147172734295,-4.337722695584824,False
600388.SH,20220930,20221028,4,25.22281639928698,25.22281639928698,0.07486036219130765,0.7749739390326268,0.6280296053043863,1.0,18.29161098164577,1.245524704781489,1.2686569489441744,3.280211050936465,4.130824127480692,53701409.0,682403750.0,11.530249110320288,-8.61209964412812,11.530249110320288,True
600388.SH,20230616,20230714,5,9.99999999999999,9.99999999999999,0.07680231022651489,0.09427107650456007,1.0192657321793355,1.0,11.163155482453261,0.705102532934541,1.0185831528912368,-0.19154328443838717,-0.10564895411075846,30400841.8,547890400.0,-4.6242774566474,-22.228060956384653,-22.228060956384653,False
600388.SH,20230728,20231229,22,-28.024760832864377,30.8947664603264,0.07702719876649905,-0.6680208492053291,0.3700022244832525,0.08378870673952614,-12.49315818281344,0.7395545980985984,0.8828432502224132,0.022651679320825072,-0.29177630584036535,31886259.5,474876636.3636364,0.07818608287726315,-20.797498045347908,0.07818608287726315,False
600388.SH,20240419,20240607,8,-15.158466236218542,16.33407240815095,0.07817224382518925,-0.05636579358367919,-0.4366794472823877,0.0,-6.766041636152681,0.7036140847283463,0.7227017320875909,-0.20864447687194593,-0.3203080619845098,30336666.625,388737375.0,2.787456445993036,-2.090592334494769,-2.040197091093156,False
600388.SH,20240802,20240906,6,-3.454231433506056,4.145077720207261,0.07372879969108728,-0.5569562968164427,-0.605062971803346,0.1666666666666654,-6.043042914727758,0.3285569654280975,0.30000857677286835,-0.4257960778554696,-0.4385709363155092,14165894.833333334,161373000.0,18.604651162790706,-7.960644007155644,4.740608228980341,True
600388.SH,20240920,20250930,55,44.00503915716982,44.00503915716982,0.043104584124818116,0.17569410843864466,-0.10018435626929795,1.0,21.63469289053671,1.2142624425282273,1.2191792263186247,3.965944139670668,6.001288114537977,52353521.21818182,655789949.0909091,0.0,0.0,0.0,False
300664.SZ,20190802,20210108,75,-9.773006989075823,46.70805444953625,0.07224265613844151,0.3420637374731737,0.05144888701250494,0.08783476737360248,-20.239571705057553,1.6923033171284452,3.382802149458297,1.0898891729207232,0.2652756629630188,89142869.6,950644129.3333334,2.4161073825503276,-7.382550335570465,2.1476510067114036,False
300664.SZ,20210917,20220513,34,-20.55800293685755,28.19383259911894,0.07406587865836879,-0.1591482949018446,-0.4863736642058799,0.11458333333333333,-13.935730194082058,0.870793455663753,1.069523742148644,-0.6103678392108187,-0.6969745531390332,45869453.0,300560429.4117647,6.960086234657046,0.18484288354897133,6.960086234657046,False
300664.SZ,20220602,20240830,114,-21.86096524466704,35.63924384002644,0.07710811822969156,-0.19657554801863591,-0.1614622622359233,0.0,-9.131475729569742,0.67515115936062,0.6837316701051039,0.2186826167743972,-0.07753558796368895,35563903.438596494,192144107.01754385,26.74543196108327,-2.634256290432198,26.74543196108327,True
