stock_id,stock_name,date,close,ma_std,ma_bandwidth,position_20d,position_60d,ma60slope,ma20slope,drawdown_20d,drawdown_60d,return_5d,return_10d,return_20d,volatility_5d,volatility_20d,volatility_60d,volume_ratio,close_to_ma5,close_to_ma20,close_to_ma60,ma5_above_ma20,ma20_above_ma60,price_above_ma60,amplitude_20d,label_10,label_15,label_20,label_30,future_max_return
002036.SZ,联创电子,2023-02-24,13.280005919999999,0.015806724367308116,0.0415600702282417,0.2992700729926996,0.5897435897435892,-0.0011988591908330495,0.016080141948839038,0.06736842105263163,0.06736842105263163,-0.019188191881918892,-0.042507204610951144,-0.004494382022471988,0.013281096973214907,0.015593377465015908,0.016804764307510378,0.9222426330842368,-0.017883535323677202,-0.0329974169607451,0.007492387582599351,0,1,1,0.1030850263355906,1,1,1,1,0.4288939051918736
002036.SZ,联创电子,2023-08-16,9.97,0.029972511478748323,0.07597793380140405,0.0,0.2895212647937724,0.053790585170594964,-0.03851554453580755,0.20367412140575072,0.2318952234206471,-0.07855822550831792,-0.1192579505300353,-0.20430965682362323,0.015243745127860517,0.028103423274561414,0.03412334700689151,0.5382385058104657,-0.038387345679012315,-0.10386050065165596,-0.046476171759573075,0,1,0,0.255767301905717,1,1,1,1,0.3931341223671013
002036.SZ,联创电子,2023-12-14,10.4,0.018211753799528392,0.04541666666666683,0.2031250000000003,0.45744680851063857,0.031013059888439637,0.003637211471205381,0.1282481139983235,0.1282481139983235,-0.005736137667304075,-0.08771929824561409,-0.027128157156220634,0.019474695886757966,0.030516277788616347,0.02964866199815394,0.5235018950791034,0.0025062656641603818,-0.03359197137945449,0.010771847412327099,0,1,1,0.1846153846153846,1,1,1,0,0.24807692307692308
002036.SZ,联创电子,2024-04-12,7.69,0.014209576286065576,0.037364542696141985,0.266666666666667,0.5953002610966058,-0.07277051604908662,0.007095315835740046,0.11405529953917043,0.16774891774891773,-0.044720496894409933,0.044836956521739246,-0.03874999999999995,0.03256326058576815,0.033767418001730706,0.039161452779488834,0.9511156463841042,-0.029530540131246952,-0.04108734958538545,-0.005453408919449057,0,1,0,0.17555266579973985,1,1,1,1,0.5513654096228867
002036.SZ,联创电子,2024-08-12,6.39,0.02365426325891126,0.06411058946270223,0.03960396039603961,0.10569105691056899,-0.024543648917052754,-0.014959301899244878,0.13179347826086965,0.1468624833110815,0.004716981132075304,-0.04054054054054057,-0.09999999999999998,0.014878517415772704,0.02529653530795312,0.02764905710593335,0.5525769505854609,-0.011753789050417511,-0.04861162808010115,-0.07063557473214722,0,0,0,0.15805946791862296,1,1,1,1,0.35837245696400627
002036.SZ,联创电子,2024-12-25,9.75,0.013608155564741481,0.03586324786324779,0.19889502762430922,0.5390476190476191,0.12638530867217365,-0.008639723528846894,0.12946428571428567,0.1988496302382909,-0.05523255813953487,-0.1071428571428571,-0.005102040816326592,0.030862893655444073,0.03485846274654845,0.046257243375585726,0.6267891799694203,-0.03369672943508423,-0.05587295439140134,-0.022784979286382713,0,1,0,0.1856410256410255,1,1,1,0,0.2482051282051282
002036.SZ,联创电子,2025-05-27,10.26,0.025916406025068874,0.06820987654320979,0.29770992366412247,0.35834896810506567,-0.03837468515677006,0.03670353332680826,0.08228980322003578,0.25,-0.04022450888681006,-0.04646840148698883,0.04056795131845847,0.015596350666086469,0.020919260956368268,0.02725786470293093,0.4534110114288425,-0.010798303123795011,-0.031344410876132996,-0.07332420105071435,0,0,0,0.12768031189083826,1,1,1,1,0.47368421052631576
300452.SZ,山河药辅,2016-05-18,31.66219466,0.025084434291276107,0.06193462999194392,0.1645402551693796,0.49708686440677974,0.018536690043991076,-0.035786337741075654,0.17935398564412536,0.17935398564412536,-0.007198354661791528,-0.12585513078470834,-0.12320887991927343,0.03840688375745538,0.04010069097941719,0.04233447401307519,0.9586786822990446,0.0003453833755469599,-0.05801618577321486,-0.0014690475324023874,0,1,0,0.2615951202670041,1,1,1,1,0.6465646219357807
300452.SZ,山河药辅,2016-09-26,17.377949859999998,0.008862822686738442,0.021003704480324396,0.26014319809069014,0.3973256924546318,-0.04858419299813165,-0.004538174052322454,0.06103563693640488,0.11685185185185194,0.001259710266638514,-0.045245245245245425,0.0025225982762244747,0.006110114863131658,0.02059149696523297,0.021172008485535913,0.5749635618986064,-0.0034270907343169916,-0.01623450296016674,-0.022819323684696035,0,0,0,0.08785908995596549,1,1,1,1,1.3334032291885096
300452.SZ,山河药辅,2017-03-27,13.6283356,0.012272098765115383,0.029090909090909084,0.22371364653243891,0.3804247460757155,-0.056634579125555744,0.03526410564225681,0.084903352091999,0.15211970074812975,-0.028066528066527985,-0.010320190526594275,0.024938339271033172,0.03004235962352689,0.017226662521164542,0.021587126062213868,1.2720117913384439,-0.041762746605175496,-0.014349905783446809,-0.014284961256654892,1,1,0,0.11951871657754012,1,1,1,1,0.39037433155080226
300452.SZ,山河药辅,2017-09-12,9.164958440000001,0.013364797306293905,0.033101512933138004,0.13186813186813487,0.6645435244161365,-0.005358844278366781,0.03384135588186155,0.05467128027681645,0.05467128027681645,-0.024982155603140543,-0.05237599722511255,-0.0029197080291969435,0.01587297148448845,0.014183882880623977,0.018295669498705026,1.2654796171095788,-0.01797268152408327,-0.01888960712490111,0.010778679426781408,0,1,1,0.06661786237188874,1,1,1,1,0.624970028778439
300452.SZ,山河药辅,2018-01-15,9.091155700000002,0.0166943979469478,0.04087945879458787,0.29291044776119424,0.22919708029197075,0.0021258601913852772,0.00867485363415658,0.12269342829394612,0.16306361951822113,-0.0750853242320817,-0.10116086235489197,-0.02059992771955177,0.021374345888136713,0.028005239889585632,0.02568810325121305,0.5526724776082381,-0.022578085551467852,-0.04087772075738783,-0.060131905227076836,0,0,0,0.19778597785977842,1,1,0,0,0.1948339483394834
300452.SZ,山河药辅,2018-05-29,8.426931040000001,0.02709173587728716,0.06827229299363052,0.05735660847880297,0.40594925634295737,0.06919886178631598,0.00787106446776605,0.1307958477508649,0.21278596051394538,-0.10060866451843886,-0.05028355387523609,-0.0696296296296296,0.03493797144122421,0.02830326890219259,0.036370598258226146,0.6035354056228213,-0.04783564551588208,-0.06582372629230188,-0.0021847070506454186,0,1,0,0.15963375796178322,1,1,1,0,0.27030254777070045
300452.SZ,山河药辅,2018-10-11,6.33569376,0.02702677584022715,0.07001627314028078,0.05641025641025698,0.0115543409237878,-0.023028730273714843,0.0027483635126700247,0.12415654520917678,0.4202829023320912,-0.08462623413258108,-0.044182621502209085,-0.015174506828528056,0.04451503771066729,0.02701943868706439,0.03063942478098541,1.4213053454576359,-0.056137289121582314,-0.0477238545908074,-0.10724794326164133,1,0,0,0.1502311248073961,1,1,1,1,0.7249793115000559
300452.SZ,山河药辅,2019-04-15,8.07337248,0.028537019056357943,0.07156388553002821,0.2749999999999996,0.4717557251908397,0.06501901976736502,0.0013548539114041597,0.09518599562363253,0.17300000000000004,-0.053775743707093926,-0.0036144578313253017,0.00364077669902918,0.025643368714727926,0.022606762149226228,0.02914529026740719,0.8909444169301688,-0.041936978683966716,-0.02700158832872522,0.024444627962672508,1,1,1,0.14510278113663863,1,1,1,0,0.2091898428053205
