stock_id,start_date,end_date,duration_weeks,avg_convergence,ma20_slope,ma60_slope,start_price,end_price,price_change,is_profitable
600036.SH,20161111,20161125,3,0.07794541991640137,0.1308202304422872,0.1965206176070557,5.12591514,5.40183843,0.053829078801331795,1
600036.SH,20170106,20170120,3,0.07886594502149938,0.09488918718542279,0.06087534347596871,5.108847720000001,5.288055630000001,0.035077951002227103,1
600036.SH,20170421,20170519,5,0.07152159224249764,0.03893322951138804,0.05065223633285502,5.347791600000001,5.839902210000001,0.09202127659574469,1
600036.SH,20180713,20180720,2,0.06321838828029612,-0.014758869709366055,0.27580828372743177,15.53251418,16.213505079999997,0.043842927945100876,1
600036.SH,20200424,20200828,19,0.04622084860393122,0.008828924177340342,0.12935698026226866,24.415952789999995,29.696819050000002,0.21628753567064904,1
600036.SH,20200930,20201023,4,0.07688650753505678,0.0549117275323017,0.06493653670950779,27.804564,31.836225779999996,0.14499999999999988,1
600036.SH,20211126,20220318,16,0.04427060618996575,0.007196328903499355,0.1506731600602948,42.8511813,39.48980121,-0.07844311377245503,0
600036.SH,20230721,20231124,18,0.037106232580933526,-0.04497374169688928,-0.11803847012317172,27.836225400000004,26.26059,-0.05660377358490576,0
600036.SH,20240301,20240510,11,0.06604732052832622,-0.07072935100793706,-0.01771659096432549,27.958774820000002,31.18007386,0.11521603005635558,1
600036.SH,20240621,20240712,4,0.07854112797636395,0.09361020782093389,-0.018135406655063097,29.499396100000006,31.933139999999998,0.0825014821235609,1
600036.SH,20240823,20240823,1,0.07767994590461774,0.15596026485204956,0.0143332211608018,31.651377000000004,31.651377000000004,0.0,0
600036.SH,20240906,20240930,5,0.07079964188671081,0.14942029528737494,0.021943791406408158,29.3503125,35.3236881,0.2035199999999999,1
600519.SH,20181228,20190125,5,0.06544445997138157,0.022011851215648352,0.22350126517994423,397.82781273,458.3033581,0.15201437263775194,1
600519.SH,20211015,20211210,9,0.051181146232133594,-0.08926702572318983,0.09821503392073393,1760.31329463,1919.20311,0.09026223675905203,1
600519.SH,20220114,20220318,9,0.05326042158156068,-0.00939636691231343,0.05096401455167773,1714.4268929999998,1568.2276934099998,-0.08527584359935729,0
600519.SH,20220415,20220708,13,0.05259268416189032,0.0674969295221337,0.01765532981940771,1658.4026912099998,1853.076998,0.11738663222257699,1
600519.SH,20220722,20221021,13,0.05074272620334753,-0.03830900266417989,-0.027197999617018045,1804.872894,1505.451248,-0.16589625064201335,0
600519.SH,20230113,20240621,73,0.03776787247041233,-0.07908004361883368,-0.011291760617268614,1748.3111609999999,1420.549113,-0.18747352033863715,0
600519.SH,20241108,20250930,48,0.042446385952653765,-0.09665510595505618,-0.04337447147383777,1554.31655704,1443.99,-0.07098075134070689,0
000725.SZ,20100312,20100507,9,0.05598068755696996,0.016168395363026163,0.16832933451193335,3.57627972,3.12348894,-0.12660944206008581,0
000725.SZ,20110513,20110617,6,0.06030917887764956,-0.025173745173745158,-0.15301751029405644,2.4481399799999997,2.38674462,-0.025078369905955984,0
000725.SZ,20120914,20121102,7,0.06503493513043078,-0.0054570259208730175,-0.17816769540190022,1.58093052,1.67302356,0.05825242718446614,1
000725.SZ,20130913,20140110,18,0.0642846261954684,-0.009385665529010203,0.07527056717389519,1.6960468199999998,1.6116282,-0.04977375565610854,0
000725.SZ,20140124,20140926,36,0.04297633468844513,-0.08860759493670879,0.029210925644916536,1.6116282,1.8879073199999998,0.17142857142857135,1
000725.SZ,20190524,20190621,5,0.06901866185210494,0.1708008812748024,-0.17793744512416892,2.92200662,3.021802,0.03415303008451097,1
000725.SZ,20190719,20190719,1,0.07330645311699831,0.2707530384898006,-0.14528456475660334,3.47938916,3.47938916,0.0,0
000725.SZ,20200612,20200619,2,0.0762502194378794,0.08834595509323785,0.10875246806252069,4.15796224,4.12204032,-0.008639308855291536,0
000725.SZ,20210910,20210924,3,0.06647187498574925,0.0059083202433819985,0.14045384650045137,5.56978494,4.91950548,-0.11675126903553303,0
000725.SZ,20230602,20230707,6,0.06917821733499385,0.15538072492273108,-0.05315012487077368,3.83101666,4.2322824,0.1047413195013357,1
000725.SZ,20230818,20241101,62,0.04782187793447011,0.06838404402218158,-0.004360405492497502,3.7816227,4.40411174,0.16460897592983048,1
000725.SZ,20241213,20250207,9,0.0666859408486306,-0.004926327902989417,0.011763900873152709,4.30536484,4.48310926,0.04128440366972472,1
000725.SZ,20250307,20250418,7,0.06105917479412264,0.09978032802268769,0.04695313819766254,4.36461298,3.77213158,-0.13574660633484173,0
000725.SZ,20250606,20250930,18,0.04687480686165696,-0.021587825881798205,0.022210158429681777,3.89062786,4.16,0.06923616179523276,1
002415.SZ,20180810,20180810,1,0.07436674963399266,-0.0015774200832957166,0.2597089917454733,27.61328,27.61328,0.0,0
002415.SZ,20190510,20190517,2,0.06772810288911568,0.11604173231103192,-0.03330628699769874,25.714867,24.1788783,-0.0597315436241611,0
002415.SZ,20190906,20190906,1,0.07939882897238838,-0.1431225892831169,-0.10436631655702502,26.883954189999997,26.883954189999997,0.0,0
002415.SZ,20191018,20200110,13,0.04303237537583097,-0.13463498334490798,-0.08985019886254707,24.14716924,29.19232472,0.2089336199144475,1
002415.SZ,20200430,20200515,3,0.06941328289993111,0.09563342190348403,0.04559805376690745,27.23824012,26.23570976,-0.03680598877105433,0
002415.SZ,20200703,20200717,3,0.050870529349781125,-0.016191724817142785,-0.013636108621470688,28.033358500000002,29.48625575,0.051827441581785476,1
002415.SZ,20211112,20211119,2,0.06409253023652307,-0.04072116720888055,0.19604078502046726,49.660124999999994,47.6499375,-0.0404789053591789,0
002415.SZ,20211210,20211217,2,0.07333400882169838,-0.09824363933451978,0.15777686547674194,50.490625,49.216562499999995,-0.025233644859813213,0
002415.SZ,20211231,20211231,1,0.07058978220291491,-0.12920089314387806,0.13106571166100306,49.377,49.377,0.0,0
002415.SZ,20230804,20240112,23,0.034772211656298777,0.09178899317529098,-0.052856154901629746,34.5137995,28.7347447,-0.16744186046511622,0
002415.SZ,20240223,20240403,7,0.06834033805210311,-0.0182846310201101,0.03760826971164856,32.6629911,30.0095362,-0.08123735183579069,0
002415.SZ,20240510,20240719,11,0.050232820623224095,-0.05468118285780299,3.455474231283269e-05,31.3220993,29.226228600000002,-0.06691348111523288,0
002415.SZ,20241206,20250930,44,0.048839845171615014,-0.0923112986652341,-0.04835606595297576,29.55417968,31.07260512,0.05137768858553539,1
600276.SH,20090320,20090515,9,0.052857883412576016,,,1.82728128,1.9478776800000002,0.06599772094201073,1
600276.SH,20110429,20120106,36,0.0495840138599537,0.029291372746732165,0.14160402585548634,4.1482056,3.5758071,-0.13798701298701294,0
600276.SH,20120511,20120511,1,0.07975016997489341,-0.10407551251167586,-0.05905236434312805,3.8128474199999998,3.8128474199999998,0.0,0
600276.SH,20120601,20120720,8,0.06741132413483943,-0.09114426462844057,-0.06006704670774169,3.8503097100000003,4.35109321,0.13006317354143435,1
600276.SH,20120803,20120914,7,0.0723058061641071,0.004215454500098653,-0.020372973615848354,4.19799654,4.475573680000001,0.06612133605998657,1
600276.SH,20121123,20130125,10,0.0628436073203748,0.1398198651733984,0.0038752392899677845,4.117871180000001,4.68017951,0.1365531619179985,1
600276.SH,20130510,20130712,10,0.0705955762318871,0.06247577968357707,0.05283747554001646,4.57429957,4.949684100000001,0.08206382731509662,1
600276.SH,20140523,20140530,2,0.07198487226204811,0.04250490533392775,0.1018771896818765,6.212553580000001,6.3000817300000005,0.014088916718847806,1
600276.SH,20160422,20160729,15,0.04157345180085469,0.00032910801112593686,0.1824528498021187,13.15261794,14.76204912,0.12236584285668071,1
600276.SH,20181123,20181221,5,0.054903801397904496,-0.01260917372798089,0.1736748285265937,35.19993890000001,28.152082700000005,-0.20022353504710205,0
600276.SH,20190201,20190301,4,0.072849606263757,-0.1589062269781701,0.08651286970833734,34.1826646,40.46616,0.18382111147648797,1
600276.SH,20221202,20230210,10,0.05359010343602053,0.08927721843828924,-0.15682436690416574,39.940128,42.99727360000001,0.07654320987654334,1
600276.SH,20230922,20231117,8,0.06468338854662824,0.05361452557173055,0.09557961651998427,43.673417560000004,46.726393640000005,0.0699046754425783,1
600276.SH,20231208,20240126,8,0.054802677007356866,-0.03358630593509823,0.08256592951660324,45.18999334000001,39.946407799999996,-0.11603421803027004,0
600276.SH,20240301,20240621,17,0.045781989910115686,-0.023114376505266356,0.05278553080869816,42.14692952000001,39.68868904,-0.05832549388523065,0
600276.SH,20240726,20240930,11,0.0489847403075224,-0.009885543841432037,-0.002499264138666168,40.87097478,52.046554199999996,0.27343559775992204,1
600276.SH,20241227,20250425,18,0.05909272159905253,0.10688219870373715,0.02343238822133798,45.8765994,50.02639158,0.09045553145336221,1
